track_id,track_name,artists
1jKXjxMWlq4BhH6f9GtZbu,TORE UP,Don Toliver
3vkCueOmm7xQDoJ17W1Pm3,My Love Mine All Mine,Mitski
3xgA3KSsd8mt3UjQxNtQy3,Bajrang Baan-Lofi,Rasraj Ji Maharaj
6J4oLY2GEwOsUgEd50IpKy,Baarish Ka Asar,Twin Strings
0Qa9pTZLUC95wJCHGYMIg4,Sajdaa,"Shankar-Ehsaan-Loy, Rahat Fateh Ali Khan, Shankar Mahadevan, Richa Sharma"
7G5wpuR61ABrT7R1snos7C,Kalank - Title Track,"Pritam, Arijit Singh"
4nEgdjc0SAQif5zH2U5clo,Panna Ki Tamanna Hai - New Age Mix,"Dixit Seth, Lata Mangeshkar, Kishore Kumar"
6OTfUkn4BwQtSnWvwO9vyR,Sooiyan,"Amit Trivedi, Chinmayi, Arijit Singh"
0FDz52AydSbKmGO3k6EMiS,"Crazy Kiya Re (From ""Dhoom:2"")","Pritam, Sunidhi Chauhan, Sameer Anjaan"
1hlbywc8Jhl1FFqJxAMabE,Ishq,"Faheem Abdullah, Rauhan Malik, Amir Ameer"
6okl6K7GqLehjY1my9CmdQ,Vichudo,Kinjal Dave
2p8IUWQDrpjuFltbdgLOag,After Hours,The Weeknd
5Y6nVaayzitvsD5F7nr3DV,West Coast,Lana Del Rey
1r27BKhp7yzevrOhHEncOk,Breathless Hanuman Chalisa,Shankar Mahadevan
2CGNAOSuO1MEFCbBRgUzjd,luther (with sza),"Kendrick Lamar, SZA"
7KmCQLSSde0UX5OqCgvGN9,ANTIDOTE,Karan Aujla
2xLMifQCjDGFmkHkpNLD9h,SICKO MODE,Travis Scott
4y5bvROuBDPr5fuwXbIBZR,Paper Rings,Taylor Swift
0eCajpR75pDW0r64U6hP2x,Jo Tum Mere Ho,Anuv Jain
3dnWilTmmUPaIokFfaSoT3,"Ishq Mein - From ""Nadaaniyan""","Sachin-Jigar, Sachet Tandon, Asees Kaur, Amitabh Bhattacharya"
56zZ48jdyY2oDXHVnwg5Di,Tum Hi Ho,"Mithoon, Arijit Singh"
4rHZZAmHpZrA3iH5zx8frV,Mirrors,Justin Timberlake
5vPMSCWcc5niEpjhnhx35u,Intaha Ho Gai Intezar Ki,"Kishore Kumar, Asha Bhosle"
1fkjRQA8wXPPyxqYLbxuqy,Ishq Bulaava,"Vishal-Shekhar, Sanam Puri, Shipra Goyal"
1zzejMGRYKP5XOa3FmzXfa,"Katchi Sera - From ""Think Indie""",Sai Abhyankkar
6pcywuOeGGWeOQzdUyti6k,Glock In My Lap,"21 Savage, Metro Boomin"
